Name,Formula,Dipole momentμ debye
1-fluoro-4-phenylsulfonylbenzene,C12H9FO2S,4.29
1-fluoroadamantane,C10H15F,2.11
1-fluorocyclohexene,C6H9F,1.94
1-fluoronaphthalene,C10H7F,1.42
1-fluorooctane,C8H17F,1.8
1-fluoropropane,C3H7F,1.9
1-formyl-2-methylnaphthalene,C12H10O,2.96
"1-furan-2-ylbutane-1,2-dione",C8H8O3,2.42
1-heptadecene,C17H34,0.44
1-heptanethiol,C7H16S,1.56
1-heptyne,C7H12,0.86
1-hexadecanol,C16H34O,1.58
1-hexadecene,C16H32,0.39
1-hexanethiol,C6H14S,1.55
1-hexen-3-yne,C6H8,0.62
1-hexene,C6H12,0.46
1-hexyne,C6H10,0.86
1-hydroperfluoroheptane,C7HF15,1.75
1-iodo-1-hexyne,C6H9I,0.76
"1-iodo-2,4-dinitrobenzene",C6H3IN2O4,3.4
1-iodo-2-(2-iodophenoxy)benzene,C12H8I2O,2.72
1-iodo-2-methoxybenzene,C7H7IO,2.25
1-iodo-2-methylpropane,C4H9I,1.87
1-iodo-2-nitrobenzene,C6H4INO2,3.69
1-iodo-2-prop-1-en-2-ylbenzene,C9H9I,1.48
1-iodo-3-methylbenzene,C7H7I,1.58
1-iodo-3-methylbutane,C5H11I,1.83
1-iodo-3-nitrobenzene,C6H4INO2,3.47
1-iodo-4-methoxybenzene,C7H7IO,2.14
1-iodo-4-methylbenzene,C7H7I,1.72
1-iodo-4-nitrobenzene,C6H4INO2,2.9
1-iodo-4-nitrosobenzene,C6H4INO,2.18
1-iodobutane,C4H9I,2.1
1-iododecane,C10H21I,1.82
1-iodoheptane,C7H15I,1.84
1-iodohexane,C6H13I,1.94
1-iodonaphthalene,C10H7I,1.44
1-iodononane,C9H19I,1.82
1-iodooctane,C8H17I,1.88
1-iodopentane,C5H11I,1.85
1-iodopropane,C3H7I,2.01
1-iodoundecane,C11H23I,1.83
1-isocyanato-4-methylbenzene,C8H7NO,3.17
1-isocyano-2-methylbenzene,C8H7N,3.35
1-isocyano-4-methylbenzene,    ⋮,3.96
1-isopropenyl-2-methylbenzene,C10H12,0.8
1-isopropenylnaphthalene,C13H12,0
"1-isopropyl-3,5-di-tert-butylhexahydro-1,3,5-triazine",C14H31N3,1.37
1-isopropyl-3-methyl-5-pyrazolone,C7H12N2O,3.73
1-isothiocyanato-4-methylbenzene,C8H7NS,3.32
"1-methoxy-2,4-dinitrobenzene",C7H6N2O5,5.52
1-methoxy-2-(propen-2-yl)benzene,C10H12O,1.48
1-methoxy-2-methylbenzene,C8H10O,1
"1-methoxy-3,5-dinitrobenzene",C7H6N2O5,4.17
1-methoxy-3-(propen-2-yl)benzene,C10H12O,1.65
1-methoxy-3-methylbenzene,C8H10O,1.17
1-methoxy-4-methyl-2-nitrobenzene,C8H9NO3,4.9
1-methoxy-4-methylbenzene,C8H10O,1.2
1-methoxy-4-prop-1-en-2-ylbenzene,C10H12O,1.33
1-methoxy-N-methyl-1-phenylmethanimine,C9H11NO,1.29
1-methoxydodecane,C13H28O,1.25
1-methoxynaphthalene,C11H10O,1.24
"1-methoxypropa-1,2-diene",C4H6O,0.96
"1-methyl-1,2,3,4-tetrazole",C2H4N4,5.42
"1-methyl-1,2-dicarbaclosodecaborane(12)",C3H14B10,4.75
1-methyl-1-phenylhydrazine,C7H10N2,1.97
"1-methyl-1H-imidazo-(4,5-b)pyridine",C7H7N3,5.78
"1-methyl-2,6-piperidinedione",C6H9NO2,2.7
"1-methyl-2,B-dichloro-1,2-dicarbaclosodecaborane(12)",C3H12B10Cl2,3.72
"1-methyl-2-(1,2,2-trifluoroethenyl)benzene",C9H7F3,1.95
1-methyl-2-(sulfinylamino)benzene,C7H7NOS,2.2
1-methyl-2-methylsulfanylbenzimidazole,C9H10N2S,2.58
1-methyl-2-piperidinone,C6H11NO,4.04
1-methyl-2-pyridone,C6H7NO,4.04
"1-methyl-3,5-di-tert-butylhexahydro-1,3,5-triazine",C12H27N3,1.29
1-methyl-3-phenylpyrazole,C10H10N2,2.3
"1-methyl-4,5,6,7-tetrahydrobenzimidazole",C8H12N2,4
"1-methyl-4-(1,2,2-trifluoroethenyl)benzene",C9H7F3,2.31
1-methyl-4-(2-phenylethynyl)benzene,C15H12,0.57
1-methyl-4-(4-methylphenoxy)benzene,C14H14O,1.42
1-methyl-4-(phenoxy)benzene,C13H12O,1.31
1-methyl-4-nitro-2-(sulfinylamino)benzene,C7H6N2O3S,5.01
1-methyl-4-phenylpiperidine,C12H17N,1.02
"1-methyl-4-phospha-3,5,8-trioxabicyclo[2,2,2]octane-4-oxide",C5H9O4P,7.29
"1-methyl-4-phospha-3,5,8-trioxabicyclo[2.2.2]octane",C5H9O3P,4.1
1-methyl-4-[(E)-2-nitroethenyl]benzene,C9H9NO2,4.77
1-methyl-5-methylaminotetrazole,C3H7N5,2.25
1-methyl-5-phenylpyrazole,C10H10N2,2.45
1-methylazepan-2-one,C7H13NO,4.23
1-methylbenzimidazole,C8H8N2,4.04
1-methylbenzotriazole,C7H7N3,3.95
1-methylcyclopropene,C4H6,0.84
1-methylimidazole,C4H6N2,3.8
1-methylimidazolidin-2-one,C4H8N2O,4.18
1-methylimidazolidine-2-thione,C4H8N2S,5.53
1-methylnaphthalene,C11H10,0.37
1-methylpropyl acetate,C6H12O2,1.87
1-methylpropylbenzene,C10H14,0.45
1-methylpyrazole,C4H6N2,2.28
1-methylpyridine-2-selone,C6H7NSe,5.73
1-methylpyridine-2-thione,C6H7NS,5.26
1-methylpyrimidin-4-one,C5H6N2O,7.5
1-methylpyrimidine-4-thione,C5H6N2S,7.43
1-methylpyrrole-2-carbaldehyde,C6H7NO,2.84
1-methylselanyl-4-nitrobenzene,C7H7NO2Se,4.26
1-naphthol,C10H8O,1.48
1-naphthylamine,C10H9N,1.74
1-naphthylidene-4-bromoaniline,C16H12BrN,2.49
1-naphthylidene-4-chloroaniline,C16H12ClN,2.53
1-naphthylidene-4-iodoaniline,C16H12IN,2.31
1-naphthylidene-4-nitroaniline,C16H12N2O2,5.31
1-nitro-1-butene,C4H7NO2,4.05
1-nitro-1-propene,C3H5NO2,3.99
1-nitro-2-(phenoxy)benzene,C12H9NO3,4.45
1-nitro-2-(sulfinylamino)benzene,C6H4N2O3S,3.74
"1-nitro-3,5-diaminobenzene",C6H7N3O2,5.9
1-nitro-3-(sulfinylamino)benzene,C6H4N2O3S,3.5
1-nitro-4-(sulfinylamino)benzene,    ⋮,3.09
1-nitro-4-nitrosobenzene,C6H4N2O3,0.85
1-nitro-4-phenylsulfanylbenzene,C12H9NO2S,4.26
1-nitroadamantane,C10H15NO2,3.58
1-nitrobutane,C4H9NO2,3.59
1-nitronaphthalene,C10H7NO2,3.62
1-nitrooctane,C8H17NO2,3.45
1-nitropropane,C3H7NO2,3.6
1-nitroso-2-naphthol,C10H7NO2,4.39
1-nitrosopiperidine,C5H10N2O,4.39
1-octadecene,C18H36,0.38
1-octene,C8H16,0.39
1-oxo-1-ethoxy-1-phosphacyclopent-3-ene,C6H11O2P,3.47
1-pentadecene,C15H30,0.42
1-pentanethiol,C5H12S,1.5
1-penten-3-yne,C5H6,0.66
1-pentene,C5H10,0.5
1-pentyne,C5H8,0.81
"1-phenyl-1,2-propanedione",C9H8O2,2.44
1-phenyl-1-propanone,C9H10O,2.6
"1-phenyl-2,5-dimethyl-3-pyrazolimine",C11H13N3,4.37
"1-phenyl-3,4,4-trimethyl-5-pyrazolthione",C12H14N2S,3.16
"1-phenyl-3,5-difur-2-ylpyrazoline",C17H14N2O2,2.8
"1-phenyl-3,5-diselenophene-2-ylpyrazoline",C17H14N2Se2,2.91
1-phenyl-3-(4-dimethylaminophenyl)-2-propen-1-one,C17H17NO,5.22
1-phenyl-3-(4-methoxyphenyl)-1-propanone,C16H16O2,3.05
1-phenyl-3-(4-methoxyphenyl)-2-propen-1-one,C16H14O2,3.6
1-phenyl-3-(4-nitrophenyl)-2-propen-1-one,C15H11NO3,4.16
1-phenyl-3-(p-bromophenyl)triazene,C12H10BrN3,2.02
1-phenyl-3-(p-nitrophenyl)triazene,C12H10N4O2,4.81
"1-phenyl-5-(4-bromophenyl)-2,4-pentadien-1-one",C17H13BrO,2.9
"1-phenyl-5-(4-chlorophenyl)-2,4-pentadien-1-one",C17H13ClO,2.58
"1-phenyl-5-(p-nitrophenyl)-2,4-pentadien-1-one",C17H13NO3,4.19
"1-phenyl-7-(4-bromophenyl)-2,4,6-heptatrien-1-one",C19H15BrO,2.96
"1-phenyl-7-(4-chlorophenyl)-2,4,6-heptatrien-1-one",C19H15ClO,2.59
"1-phenyl-7-(4-methoxyphenyl)-2,4,6-heptatrien-1-one",C20H18O2,3.61
"1-phenyl-7-(4-nitrophenyl)-2,4,6-heptatrien-1-one",C19H15NO3,4.3
1-phenylazo-2-dimethylaminonaphthalene,C18H17N3,2.41
1-phenylazo-2-ethylaminonaphthalene,    ⋮,2.43
1-phenylethanol,C8H10O,1.63
1-phenylnaphthalene,C16H12,0
1-phenylpyrazole,C9H8N2,2
1-phenylpyrrole,C10H9N,1.36
1-propanethiol,C3H8S,1.51
1-pyridazin-3-ylethanone,C6H6N2O,2.84
1-tellurophen-2-ylethanone,C6H6OTe,2.97
1-tert-butyl-4-(4-chlorophenyl)piperidine,C15H22ClN,2.61
1-tert-butylpiperidine,C9H19N,0.7
1-tetradecene,C14H28,0.38
1-thiocyanatopropan-2-one,C4H5NOS,4.07
1-[(E)-2-(4-methoxyphenyl)ethenyl]-4-nitrobenzene,C15H13NO3,5.3
1-[(E)-2-ethylsulfonylethenyl]sulfonylethane,C6H12O4S2,1.36
1-[(Z)-2-ethylsulfonylethenyl]sulfonylethane,    ⋮,2.69
1-[2-(trifluoromethyl)phenyl]ethanone,C9H7F3O,4.18
1-[3-(trifluoromethyl)phenyl]ethanone,    ⋮,3.01
1-[4-(benzoyl)phenyl]ethanone,C15H12O2,2.79
1-[4-(trifluoromethyl)phenyl]ethanone,C9H7F3O,2.5
10-chloro-5H-phenarsazinine,C12H9AsClN,2.28
10-methylphenothiazine,C13H11NS,2.09
10-phenylphenothiazine,C18H13NS,2.16
"11-cyano-11-methyl-9,10-dihydro-9,10-ethanoanthracene",C18H15N,3.22
"1a,2a,3a,4b,5a,6b-hexachlorocyclohexane",C6H6Cl6,2.22
"1a,2a,3b,4a,5b,6a-hexachlorocyclohexane",    ⋮,2.18
"1a,2b,3a,4b,5a,6b-hexachlorocyclohexane",    ⋮,0
"1H,1H,7H-dodecafluoro-1-heptanol",C7H4F12O,2.95
"1H-naphtho[1,2-d]imidazole",C11H8N2,4.12
1H-pyridin-2-one,C5H5NO,2.94
1H-pyridine-2-thione,C5H5NS,5.29
1H-pyrrole-2-carbaldehyde,C5H5NO,2.18
1H-pyrrole-2-carbonitrile,C5H4N2,3.76
1H-pyrrole-3-carbaldehyde,C5H5NO,4.96
"1r,3c,5c-trimethylcyclohexane",C9H18,0.25
"2',3,4'-trinitrobenzenesulfonanilide",C12H8N4O8S,3.55
"2',4',6'-trimethylacetophenone",C11H14O,2.81
"2',4'-dihydroxyacetophenone",C8H8O3,3.8
"2',4'-dimethylacetanilide",C10H13NO,3.61
"2',5'-dibromoacetophenone",C8H6Br2O,2.63
"2',5'-dichloroacetophenone",C8H6Cl2O,2.66
2'-aminoacetophenone,C8H9NO,1.9
"2'-hydroxy-4',5'-dimethylacetophenone",C10H12O2,3.63
"2'-hydroxy-4',6'-dimethylacetophenone",    ⋮,3.73
2'-hydroxy-4'-methoxyacetophenone,C9H10O3,3.29
2'-hydroxy-4'-methylacetophenone,C9H10O2,3.35
2'-hydroxy-5'-methoxyacetophenone,C9H10O3,3.46
2'-hydroxy-6'-methoxyacetophenone,    ⋮,4.5
2'-methyl-5'-nitroacetophenone,C9H9NO3,2.95
2'-nitroacetophenone,C8H7NO3,4.77
"2,1,3-benzoselenadiazole",C6H4N2Se,0.94
"2,1,3-benzothiadiazol-7-amine",C6H5N3S,2.46
"2,1,3-benzothiadiazole",C6H4N2S,1.73
"2,1,3-benzoxadiazole",C6H4N2O,4.04
"2,1-benzisoxazole",C7H5NO,3.09
"2,2',4,4',6-pentachlorobenzophenone",C13H5Cl5O,2.53
"2,2',4,6-tetrachlorobenzophenone",C13H6Cl4O,3.33
"2,2'-bipyridyl",C10H8N2,0.69
"2,2'-biquinolyl",C18H12N2,0.68
"2,2'-bis(2-methyl-6,6-dimethyl-1-oxa-2,6-disilacyclohexyl) ether",,1.46
"2,2'-bis(phenylthio)biphenyl",C24H18S2,1.55
"2,2'-bithienyl",C8H6S2,0.96
"2,2'-diacetoxybiphenyl",C16H14O4,2.18
"2,2'-diaminobiphenyl",C12H12N2,2
"2,2'-dichlorobiphenyl",C12H8Cl2,1.72
"2,2'-difluorobiphenyl",C12H8F2,1.88
"2,2'-diiodobiphenyl",C12H8I2,1.71
"2,2'-dimethoxybiphenyl",C14H14O2,1.52
"2,2'-dimethylazoxybenzene",C14H14N2O,1.73
"2,2'-dinaphthylamine",C20H15N,1.24
"2,2'-dinitrobiphenyl",C12H8N2O4,5.12
"2,2'-diphenoxybiphenyl",C24H18O2,1.25
"2,2'-dipyridylamine",C10H9N3,1.49
"2,2,2-trifluoroethanol",C2H3F3O,2.52
"2,2,3,3-tetrachloro-1,1,1,4,4,4-hexafluorobutane",C4Cl4F6,0.6
"2,2,3,3-tetramethylbutanedinitrile",C8H12N2,2.13
"2,2,3-trichloroheptafluorobutane",C4Cl3F7,0.85
"2,2,3-trimethylbutane",C7H16,0
"2,2,4,4-tetramethyl-3-pentanone",C9H18O,2.51
"2,2,4-trimethylpentane",C8H18,0
"2,2,5-trimethyl-1,3-dioxane-4,6-dione",C7H10O4,3.16
"2,2,6,6-tetramethyl-1-oxa-2,6-disilacyclohexane",C7H18OSi2,0.98
"2,2,6,6-tetramethyl-1-oxa-4-thia-2,6-disilacyclohexane",C6H16OSSi2,1.11
"2,2-dibromopropanedinitrile",C3Br2N2,2.88
"2,2-dichloro-1,1,1-trifluoroethane",C2HCl2F3,1.36
"2,2-dichloroethenylbenzene",C8H6Cl2,2
"2,2-dichloropropane",C3H6Cl2,2.35
"2,2-dichloropropanedinitrile",C3Cl2N2,2.25
"2,2-diethylpropanedinitrile",C7H10N2,4.19
"2,2-dimethoxypropane",C5H12O2,0.59
"2,2-dimethyl-1,3-dioxane-4,6-dione",C6H8O4,3.08
"2,2-dimethyl-1,3-dithian-1-oxide",C6H12OS2,3.74
"2,2-dimethyl-3-heptanone",C9H18O,2.44
"2,2-dimethylbutane",C6H14,0
"2,2-dimethylpentane",C7H16,0
"2,2-dimethylpropanal",C5H10O,2.66
"2,2-dimethylpropane",C5H12,0
"2,2-dimethylpropanedinitrile",C5H6N2,3.92
"2,2-dimethylpropanenitrile",C5H9N,4.15
"2,3,4,4,5,6-hexachloro-2,5-cyclohexadien-1-one",C6Cl6O,1.63
"2,3,4,4a,5,6,7,7a-octahydro-2,4-diphenylcyclopenta[b]thiopyran",C20H22S,1.51
"2,3,4,4a,5,6,7,7a-octahydro-2-phenylcyclopenta[b]thiopyran",C14H18S,1.63
"2,3,4,5,6-pentachlorotoluene",C7H3Cl5,1.56
"2,3,4,5,6-pentafluoroaniline",C6H2F5N,2.95
"2,3,4,5,6-pentafluorotoluene",C7H3F5,2.01
"2,3,4,5-tetracarbahexaborane",C4H12B2,2.26
"2,3,4,5-tetrafluorobenzonitrile",C7HF4N,3.62
"2,3,4,5-tetraiodopyrrole",C4HI4N,2.52
"2,3,4,5-tetraphenyl-1,2-oxazolidine",C27H23NO,2.54
"2,3,4,5-tetraphenylpyrrole",C28H21N,1.61
"2,3,4-triformylthiophene",C7H4O3S,3.61
"2,3,5,5-tetraphenyl-1,2-oxazolidine",C27H23NO,2.19
"2,3,5,6,7,7a-hexahydro-2,4-diphenylcyclopenta[b]thiopyran",C20H20S,1.63
"2,3,5,6,7,8-hexahydro-2,4-diphenylcyclohexa[b]thiopyran",C21H22S,1.58
"2,3,5,6-tetrabromo-1,4-benzoquinone",C6Br4O2,0
"2,3,5,6-tetrafluoroaniline",C6H3F4N,1.83
"2,3,5,6-tetrafluorophenol",C6H2F4O,1.75
"2,3,5,6-tetrafluorotoluene",C7H4F4,0.66
"2,3,5,6-tetramethylacetophenone",C12H16O,2.81
"2,3,5-triformylselenophene",C7H4O3Se,3.96
"2,3,5-triformylthiophene",C7H4O3S,3.13
"2,3,5-triphenylisoxazolidine",C21H19NO,2.47
"2,3,6-tribromopyridine",C5H2Br3N,3.11
"2,3-butanediol dinitrate",C4H8N2O6,4.12
"2,3-butanedione",C4H6O2,1.25
"2,3-di(phenyl)-5,6-dihydro-1,4-dioxine",C16H14O2,1
"2,3-diazaphenothiazine",C10H7N3S,4.08
"2,3-dibromo-2,3-dimethylbutane",C6H12Br2,0.96
"2,3-dibromo-2-methylbutane",C5H10Br2,1.14
"2,3-dibromofuran",C4H2Br2O,1.53
"2,3-dibromoselenophene",C4H2Br2Se,1.86
"2,3-dibromothiophene",C4H2Br2S,1.74
"2,3-dichloro-2,3-dimethylbutane",C6H12Cl2,1.31
"2,3-dichloro-2-methylpropanenitrile",C4H5Cl2N,3.49
"2,3-dichloroaniline",C6H5Cl2N,2.85
"2,3-dichloropropene",C3H4Cl2,1.62
"2,3-dichloroquinoxaline",C8H4Cl2N2,3.2
"2,3-dicyanoselenophene",C6H2N2Se,6.62
"2,3-diformylselenophene",C6H4O2Se,3.24
"2,3-dihydrofuran",C4H6O,1.32
"2,3-dihydrothiophene",C4H6S,1.61
"2,3-dimethyl-1,3-butadiene",C6H10,0.52
"2,3-dimethyl-3,4-dihydro-4-pyrimidinethione",C6H8N2S,3.63
"2,3-dimethyl-4-nitroindole",C10H10N2O2,6.56
"2,3-dimethyl-5-nitroindole",    ⋮,7.37
"2,3-dimethyl-6-nitroindole",    ⋮,6.58
"2,3-dimethyl-7-nitroindole",    ⋮,4
"2,3-dimethylindole",C10H11N,3.05
"2,3-dimethylpentane",C7H16,0
"2,3-dimethylpyrimidin-4-one",C6H8N2O,3.03
"2,3-dimethylthiophenol",C8H10S,1.17
"2,3-dinitroaniline",C6H5N3O4,7.35
"2,3-dinitrophenol",C6H4N2O5,5.07
"2,3-dinitrotoluene",C7H6N2O4,5.81
"2,3-diphenylindone",C21H14O,3.28
"2,3-pyridinedicarboxylic acid",C7H5NO4,6.2
"2,4'-bipyridyl",C10H8N2,3.84
"2,4'-dibromoacetophenone",C8H6Br2O,2.48
"2,4'-dinitrodiphenyl",C12H8N2O4,6.28
"2,4,6,2',4',6'-hexachlorobenzophenone",C13H4Cl6O,2.81
"2,4,6-cycloheptatrien-1-one",C7H6O,4.17
"2,4,6-tribromo-N-methylaniline",C7H6Br3N,1.81
"2,4,6-tribromoaniline",C6H4Br3N,1.97
"2,4,6-tribromobenzaldehyde",C7H3Br3O,2.53
"2,4,6-tribromophenol",C6H3Br3O,1.45
"2,4,6-tribromopyridine",C5H2Br3N,2.29
"2,4,6-tribromotoluene",C7H5Br3,0.73
"2,4,6-trichloro-1,3,5-trimethylborazine",C3H9B3Cl3N3,0.47
"2,4,6-trichloroaniline",C6H4Cl3N,1.96
"2,4,6-trichlorobenzonitrile",C7H2Cl3N,3.7
"2,4,6-trichlorobenzophenone",C13H7Cl3O,3
"2,4,6-trichlorophenol",C6H3Cl3O,1.38
"2,4,6-trichlorotoluene",C7H5Cl3,0.57
"2,4,6-tricyclohexylnitrobenzene",C24H35NO2,3.51
"2,4,6-triiodophenol",C6H3I3O,1.54
"2,4,6-trimethyl-1,3,5-trioxane",C6H12O3,1.44
"2,4,6-trimethyl-1,3,5-trithiane",C6H12S3,2.14
"2,4,6-trimethyl-N-phenylbenzenesulfonamide",C15H17NO2S,4.9
"2,4,6-trimethylaniline",C9H13N,1.38
"2,4,6-trimethylbenzaldehyde",C10H12O,2.95
"2,4,6-trimethylbenzyl chloride",C10H13Cl,1.99
"2,4,6-trimethylphenol",C9H12O,1.3
"2,4,6-trimethylphenyl 2,4-dinitrophenyl ether",C15H14N2O5,5.44
"2,4,6-trimethylpyridine",C8H11N,2.04
"2,4,6-trimethylthiophenol",C9H12S,1.19
"2,4,6-trinitro-1,3-dihydroxybenzene",C6H3N3O8,1.5
"2,4,6-trinitroaniline",C6H4N4O6,3.27
"2,4,6-trinitrophenol",C6H3N3O7,1.34
"2,4,6-trinitrotoluene",C7H5N3O6,1
"2,4,6-triphenyl-3,5-dimethylthiopyran",C25H22S,1.76
"2,4,6-triphenyl-4H-thiopyran",C23H18S,1.35
"2,4,6-tris(trichloromethyl)-1,3,5-trioxacyclohexane",C6H3Cl9O3,1.64
"2,4-cyclopentadien-1-one",C5H4O,3.13
"2,4-di(phenyl)-5,6,7,8-tetrahydro-2H-thiochromene",C21H20S,1.48
"2,4-di(phenyl)-5,6,7,8-tetrahydro-4H-thiochromene",    ⋮,1.53
"2,4-diamino-1-nitrobenzene",C6H7N3O2,7.16
"2,4-dibenzoylmesitylene",C23H20O2,3
"2,4-dibromoaniline",C6H5Br2N,2.98
"2,4-dibromophenol",C6H4Br2O,1.35
"2,4-dibromoselenophene",C4H2Br2Se,0.97
"2,4-dicarbaheptaborane(7)",C2H7B5,1.32
"2,4-dichloro-1-methoxybenzene",C7H6Cl2O,2.77
"2,4-dichloro-1-nitrobenzene",C6H3Cl2NO2,2.68
"2,4-dichloroaniline",C6H5Cl2N,2.71
"2,4-dichlorobenzaldehyde",C7H4Cl2O,1.74
"2,4-dichlorobenzophenone",C13H8Cl2O,3.08
"2,4-dichlorophenol",C6H4Cl2O,1.6
"2,4-dichlorotoluene",C7H6Cl2,1.95
"2,4-diformylselenophene",C6H4O2Se,2.26
"2,4-dimethyl-1-(sulfinylamino)benzene",C8H9NOS,2.45
"2,4-dimethyl-2-thiono-1,3,2-dioxaphosphorinane",C5H11O2PS,5.37
"2,4-dimethyl-3-pentanone",C7H14O,2.76
"2,4-dimethyl-N-phenylbenzenesulfonamide",C14H15NO2S,4.59
"2,4-dimethylacetophenone",C10H12O,3
"2,4-dimethylaniline",C8H11N,1.4
"2,4-dimethylbenzophenone",C15H14O,3.01
"2,4-dimethylpentane",C7H16,0
"2,4-dimethylphenol",C8H10O,1.4
"2,4-dimethylpyridine",C7H9N,2.3
"2,4-dimethylpyrrole",C6H9N,1.75
"2,4-dimethylthiolane 1,1-dioxide",C6H12O2S,4.8
"2,4-dimethylthiophenol",C8H10S,1.31
"2,4-dinitroaniline",C6H5N3O4,6.51
"2,4-dinitrophenol",C6H4N2O5,3.51
"2,4-dinitrophenylhydrazine",C6H6N4O4,5.8
"2,4-dinitrotoluene",C7H6N2O4,4.38
"2,4-diphenyl-3,4,4a,5,6,7,8,8a-octahydro-2H-thiochromene",C21H24S,1.82
"2,4-pentanedionato(cyclooctatatetraene)rhodium(I)",C13H16O2Rh,0.82
"2,4-pentanedione",C5H8O2,3.03
"2,5,6,7-tetrahydro-2,4-diphenylcyclopenta[b]thiopyran",C20H18S,1.18
"2,5,8,11-tetraoxadodecane",C8H18O4,2.16
"2,5-bis(methoxycarbonyl)tellurophene",C8H8O4Te,2.42
"2,5-bistrichloromethyl-1,3-dioxolan-4-one",C5H2Cl6O3,1.64
"2,5-di(cyclopentylidene)cyclopentan-1-one",C15H20O,2.78
"2,5-di-(p-anisyl)-1-oxa-3,4-diazole",C18H18N2O3,4.2
"2,5-dibromofuran",C4H2Br2O,1.63
"2,5-dibromopyridine",C5H3Br2N,2.33
"2,5-dibromoselenophene",C4H2Br2Se,0.83
"2,5-dibromothiophenol",C6H4Br2S,0.9
"2,5-dichloroaniline",C6H5Cl2N,1.69
"2,5-dichlorobenzaldehyde",C7H4Cl2O,2.71
"2,5-dichlorobenzenethiol",C6H4Cl2S,0.95
"2,5-dichlorobenzonitrile",C7H3Cl2N,3.82
"2,5-dichlorobenzophenone",C13H8Cl2O,3.07
"2,5-dichlorobenzoquinone",C6H2Cl2O2,0
"2,5-dichlorophenol",C6H4Cl2O,1.45
"2,5-diformylselenophene",C6H4O2Se,4.21
"2,5-dihydrofuran",C4H6O,1.63
"2,5-dihydrothiophene",C4H6S,1.75
"2,5-dihydroxyacetophenone",C8H8O3,3.85
"2,5-dimethyl-1,3-dinitrobenzene",C8H8N2O4,2.65
"2,5-dimethyl-1,4-benzoquinone",C8H8O2,0
"2,5-dimethyl-1-phenylpyrazol-3-one",C11H12N2O,5.23
"2,5-dimethylacetophenone",C10H12O,2.86
"2,5-dimethylaniline",C8H11N,1.86
"2,5-dimethylbenzaldehyde",C9H10O,2.99
"2,5-dimethylphenol",C8H10O,1.49
"2,5-dimethylpiperazine",C6H14N2,1.55
"2,5-dimethylpyrazine",C6H8N2,0
"2,5-dimethylpyrazine-1-oxide",C6H8N2O,1.74
"2,5-dimethylpyrrole",C6H9N,2.03
"2,5-dimethylselenophene",C6H8Se,0.4
"2,5-dimethylthiophene",C6H8S,0.51
"2,5-dimethylthiophenol",C8H10S,1.16
"2,5-dinitroaniline",C6H5N3O4,2.69
"2,5-dinitrophenol",C6H4N2O5,1.52
"2,5-dinitroselenophene",C4H2N2O4Se,1.88
"2,5-dinitrotoluene",C7H6N2O4,0.57
"2,5-diphenyl-3-p-nitrophenylisoxazolidine",C21H18N2O3,5.15
"2,5-diphenyloxadiazole",C14H12N2O,3.5
"2,5-diphenyloxazole",C15H11NO,1.55
"2,5-norbornadiene",C7H8,0.06
"2,6-di-tert-butylpyridine",C13H21N,1.32
"2,6-dibromo-4-methylphenyl 2,4-dinitrophenyl ether",C13H8Br2N2O5,7.05
"2,6-dibromo-4-methylphenyl phenyl ether",C13H10Br2O,2.33
"2,6-dibromo-4-nitrophenol",C6H3Br2NO3,3.32
"2,6-dibromopyridine",C5H3Br2N,3.54
"2,6-dichloro-4-nitrophenol",C6H3Cl2NO3,3.04
"2,6-dichloroaniline",C6H5Cl2N,0.83
"2,6-dichlorobenzaldehyde",C7H4Cl2O,3.71
"2,6-dichlorobenzyl chloride",C7H5Cl3,2.5
"2,6-dichloronaphthalene",C10H6Cl2,0.6
"2,6-dichloropyridine",C5H3Cl2N,3.65
"2,6-dichlorotoluene",C7H6Cl2,1.11
"2,6-difluoropyridine",C5H3F2N,3.5
"2,6-dihydroxyacetophenone",C8H8O3,4.44
"2,6-diiodo-4-methylphenyl phenyl ether",C13H10I2O,2.1
"2,6-dimethyl-2,5-heptadien-4-one",C9H14O,2.38
"2,6-dimethyl-2,6-bis(triethylsiloxy)-1-oxa-2,6-disilacyclohexane",C17H42O3Si4,1.13
"2,6-dimethyl-2,6-diethoxy-1-oxa-2,6-disilacyclohexane",C9H22O3Si2,1.7
"2,6-dimethyl-4-heptanone",C9H18O,2.66
"2,6-dimethylaniline",C8H11N,1.57
"2,6-dimethylphenol",C8H10O,1.4
"2,6-dimethylpyran-4-one",C7H8O2,4.57
"2,6-dimethylpyrazine",C6H8N2,0.53
"2,6-dimethylpyridine",C7H9N,1.68
"2,6-dimethylquinoline",C11H11N,2.02
"2,6-dimethylthiophenol",C8H10S,0.92
"2,6-dinitroaniline",C6H5N3O4,1.69
"2,6-dinitrobenzaldehyde",C7H4N2O5,5.22
"2,6-dinitrophenol",C6H4N2O5,3.47
"2,6-dinitrotoluene",C7H6N2O4,2.85
"2,6-diphenylquinoline",C21H15N,1.73
"2,6-pyridinedicarboxylic acid",C7H5NO4,4.4
"2,7-dibromo-2,4,6-cycloheptatrien-1-one",C7H4Br2O,5.27
"2,7-dibromo-9-fluorenylidenediphenyl(4-methoxyphenyl)phosphorane",C32H23Br2OP,6.93
"2,7-dibromo-9-fluorenylidenediphenyl-p-bromophenylphosphorane",C31H20Br3P,6.44
"2,7-dibromo-9-fluorenylidenediphenyl-p-chlorophenylphosphorane",C31H20Br2ClP,6.11
